Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$70K-$116K (Est. de Glassdoor),"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA",-1,-1,-1,-1,-1,Investigación y desarrollo,-1,-1
Data Scientist,$71K-$85K (Est. de Glassdoor),"The Data Scientist may be responsible for any of the following tasks: Analyzing data that is collected in our current and future products and services. The Data Scientist would need to be able to take this data and apply to the markets our products are in for us to better serve our customers. The Data Scientist must have good communication and organization skills, along with a working knowledge of day to day operations and priorities within their department and the company.

Qualifications: Bachelors or Masters Degree in Statistics or Mathematics preferred or any other quantitative discipline, knowledge of the products and customers of the Auction and Heavy Equipment industries, technical expertise regarding data models, database design and development, data mining and segmentation techniques, strong skills working with technical aspects of SQL, knowledge of statistics and experience using statistical packages for analyzing large datasets, strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy, adept at queries, report writing, and present findings, excellent oral and written communication skills, able to work independently and communicate within a team environment, results oriented, flexible and open to change, stable and progressive work history, professional appearance and demeanor, ability to travel by air and ground -- valid driver’s license required, strong computer skills, able to work with minimal supervision.",2.7,"Sandhills Global
2.7","Lincoln, NE",-1,-1,-1,-1,-1,Software empresarial y soluciones de red,-1,-1
Staff Data Scientist - Analytics,$125K-$198K (Est. de Glassdoor),"Intuit is seeking a Staff Data Scientist to cover Intuits Consumer Group (TurboTax, Mint, Turbo). We have an exciting opportunity to help shape how we use data to generate hypotheses, surface insights, and build models in order to personalize customer experiences and provide awesome outcomes for the business and our customers. This role will partner closely with data engineering, data analytics, data science, marketing managers, and product management.",4.4,"Intuit
4.4","San Diego, CA",-1,-1,-1,-1,-1,Software y hardware informático,-1,-1
Data Scientist,$84K-$137K (Est. de Glassdoor),"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,"INFICON
3.5","Newton, MA",-1,-1,-1,-1,-1,Fabricación de productos eléctricos y electrónicos,-1,-1
"Data Scientist - Statistics, Early Career",$68K-$111K (Est. de Glassdoor),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.7,"Pacific Northwest National Laboratory
3.7","Seattle, WA",-1,-1,-1,-1,-1,Energía,-1,-1
Data Scientist,$111K-$182K (Est. de Glassdoor),"Company Overview

Imagine if we could match patients with the treatments that prove the most effective for them . . .
GNS Healthcare applies a powerful form of AI called causal machine learning to predict which treatments and care management programs will work for which patients, improving individual patient outcomes and the health of populations while reducing the total cost of care.

Headquartered in the biotechnology and health IT center of Cambridge, MA, our patented REFS technology is based on recent breakthroughs in causal machine learning and AI that transforms massive quantities of patient data into computer models of disease at molecular, patient, and health system levels. These computer models power up solutions, products, and services that health plans, biopharmaceutical companies, health systems, and patient foundations utilize to slow disease progression, reduce adverse events and hospitalization, and improve therapeutic effectiveness. Our platforms and solutions have been validated across more than 45 diseases including oncology, cardiovascular and metabolic disease, autoimmune diseases, neurology, etc. and have appeared in over 50 peer-reviewed publications.

Position Summary

The Data Scientist will join a dynamic team responsible for start-to-finish work on the analysis and interpretation of real-world datasets using GNSs powerful cloud-based analytics platform. We are looking for someone who thrives working in a fast-paced, exciting, and collaborative environment in one of the most cutting-edge industries where big data analytics meets healthcare. You will help manage real world data, as well as create and interpret data-frames for modeling and analysis. You will collaborate with our research scientists to carry out analysis projects using our proprietary, supercomputer-powered Bayesian network modeling and simulation platform, and will synthesize these results into meaningful reports for clients and product development.

Responsibilities
Collaborate with internal research teams and clients to evaluate study design, define research questions, design data frames, write statistical analysis plans/study protocols, conduct analyses, and participate in the full research process, including client presentation and publication
Communicate highly technical results and methods clearly to clients, discuss how to incorporate information into their processes, and achieve high client satisfaction
Troubleshoot with clients and internal stakeholders to refine and optimize models
Provide scientific communications to peer-reviewed journals and publications
Develop data frames of high complexity while adhering to a project-based timeline
Perform data manipulations and develop algorithms on multi-data sets that create the analytic files necessary to support analyses.
Consult on how to use data to perform predictive and causal modeling using both proprietary and off-the-shelf tools.
Qualifications

Minimum Qualifications: (Title commensurate with experience)
Relevant Bachelors Degree
Experience working with biomedical data/ population health data, EHR or claims data
Demonstrated experience working with programming languages R and SQL
Strong written and verbal communication; an ability to communicate technical material to non-technical audiences simply and clearly and collaborate well on a team
Strong drive for problem solving, especially around data frame construction and interpretation
Preferred Qualifications:
Masters Degree in a quantitative discipline or equivalent practical experience
Demonstrated experience working with advanced ML techniques, probability theory, Bayesian analysis, or causal inference methods
Experience working with large, complex, or unstructured data requiring post-processing to use effectively
Familiarity with the UNIX and cluster computing environment
Company Culture

Our philosophy at GNS is simple: we cannot transform healthcare with anything less than an all-star team. We are seeking smart, driven people who are experts in their field, have a track record of success and a passion for creating change. We believe that strong teams supercharge the performance of individuals, create a fun and dynamic workplace and great results for our clients and the people they serve.

We are passionate about our work and believe in the ability of our technology to change the world. Our core values of integrity, collaboration, value, diversity, and game-changing guide our behaviors with each other and our clients.

GNS offers competitive salaries, stock options, unlimited vacation, health, dental and vision insurance, life insurance, long-term disability, 401(k), generous parental leave, tuition reimbursement, professional development, subsidized parking and gym membership, tasty food, volunteering opportunities, social gatherings, and more.

Equal Employment Opportunity

GNS Healthcare provides equal employment opportunities to all employees and applicants for employment without regard to race, color, national origin, religion, sexual orientation, gender, gender identity or expression, age, veteran status, disability, pregnancy or conditions related to pregnancy, or genetics. In addition to federal law requirements, GNS Healthcare complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.

Powered by JazzHR",2.9,"GNS Healthcare
2.9","Cambridge, MA",-1,-1,-1,-1,-1,Biotecnología e industria farmacéutica,-1,-1
Data Scientist,-1,"Job Description


Avlino Inc. is seeking experienced data scientists to join our growing team
of AI engineers, analysts, and quantitative developers. The role involves
model construction, information extraction, prediction and finding solutions
to large-scale problems for mission critical applications using large
derived from a broad spectrum of domains for industry specific sectors. The
ideal candidate will have comprehensive expertise in machine learning,
time-series analysis modeling, statistical data analysis, and deep neural
networks. Experience with dynamic programming and reinforcement learning is
a plus.

Demonstrate your experience in creating real-world artificial intelligence
applications using pulsing customer data sets!

This is a great opportunity for an experienced Data Scientist with 4+ years
of relevant experience to work in a fast-paced environment where they can
share their passion for numbers and AI.

Responsibilities
Develop, implement, and use a broad set of machine-learning models and
quantitative techniques for prediction and classification for mission
critical applications.
To find problems in industrial and service sector applications.
Strong background in numerical techniques, optimization, and gradient
methods.
Development of new machine learning algorithms and/or substantial
modification of pre-existing techniques.
Analysis of high-volume, noisy, heterogeneous real-time data.
Collaborate with business analysts to transform customer needs into
actionable insights.
Design custom end user reports that are easy to read and interpret for
multiple business unit audiences.
Architect the next generation analytical platform.
Capable of de novo implementation of mathematical models, or to avail
widely used open source programming platforms and libraries (Scala, R,
python, TensorFlow).

Requirements
MUST: Solid 5 years of experience in machine learning, statistical
modeling, data mining, time-series forecasting, and neural networks.
MUST: Solid 5 years of experience working with big data technologies
distributed computing such as Hadoop/Spark, Map/Reduce, TensorFlow.
MUST: Solid 5 years of experience in multiple programming languages –
C#/.NET, C++, C, Scala, Python, R, Java.
Experience in developing or implementing enterprise class Data Analytics
and BI solutions.
Extremely analytical and able to solve problems independently.
Assesses customer requirements and translate them to appropriate
deliverables.
MUST: Have an analytical mind, and on point with detailed specifics.
MUST: Education: MS/Ph.D. (Preferred) in Computer Science, Physics, or a
related discipline.
PLUS: Experience in the logistics or transportation industry.",4.9,"Avlino
4.9",New Jersey,-1,-1,-1,-1,-1,Software empresarial y soluciones de red,-1,-1
Data Scientist,$83K-$144K (Est. de Glassdoor),"By clicking the Apply button, I understand that my employment application process with Takeda will commence and that I agree with Takedas Privacy Notice, Privacy Policy and Terms of Use.

Job Description


Takeda is looking for a Data Scientist to join our Data Engineering and Artificial Intelligence team. We are looking for a Data Scientist who can use their Machine Learning, Deep Learning, Data Wrangling and Presentation skills to help deliver insights for our most difficult questions. You will work with the rest of the team to enable Takeda to continue its journey of data maturity, delivering outputs while educating others. You will be helping to solve some of the biggest question at Takeda and for healthcare in general.

Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Data Scientist in our Cambridge, MA location.

POSITION OBJECTIVES:
Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.
Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.
Provide mentorship to other Data Engineers, Data Scientists and Data Specialists across R&D and Vaccines at Takeda as we elevate our data IQ across the organization.
Deliver critical analysis against Takedas toughest data problems to give us critical insight to the organizations largest questions.
POSITION ACCOUNTABILITIES:
Perform machine learning, deep learning and other advanced data techniques at a level of quality that can be defended to peers across organizations.
Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of deriving better insights from available datasets.
Understanding and usage of different Supervised and Unsupervised learning techniques, their biases, how and when to apply them and which methods are the best for a particular analysis.
Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
Work independently to solve difficult technology and data problems.
Demonstrate usage of advanced tooling and techniques to other technical organizations throughout the company.
EDUCATION, BEHAVIORAL COMPETENCIES AND SKILLS:

Required
Masters Degree or PhD in Computer Science, Data Science or equivalent
3+ years experience or a PhD and relevant project / coursework
Expertise with the Application of Machine Learning and / or Deep Learning
Up-to-date knowledge of data wrangling and analysis technologies
Experience with Spark
Ability to manipulate voluminous data with different degree of structuring across disparate sources to build and communicate actionable insights for internal or external parties
Possesses strong personal skills to portray information
Ability to work in an agile and rapid changing environment with high quality deliverables
Experience with two of the following languages: Python, R, Java or Scala
Experience with deep learning frameworks: TensorFlow, MX Net
Working knowledge of SQL and NoSQL datastores
Preferred
Experience in a scientific environment
Experience with Reinforcement Learning
WHAT TAKEDA CAN OFFER YOU:
401(k) with company match and Annual Retirement Contribution Plan
Tuition reimbursement Company match of charitable contributions
Health & Wellness programs including onsite flu shots and health screenings
Generous time off for vacation and the option to purchase additional vacation days
Community Outreach Programs
Empowering Our People to Shine

Discover more at takedajobs.com

No Phone Calls or Recruiters Please.

#LI-JV1

Locations


Cambridge, MA

Worker Type


Employee

Worker Sub-Type


Regular

Time Type


Full time",3.7,"Takeda
3.7","Cambridge, MA",-1,-1,-1,-1,-1,Biotecnología e industria farmacéutica,-1,-1
Health Data Scientist - Biomedical/Biostats,$90K-$96K (Est. de Glassdoor),"Evidation Health is a new kind of health and measurement company that provides the technology and guidance to understand how everyday behavior and health interact. The volumes of behavior data generated from wearables and smartphones has opened up new ways to analyze individuals' behavior and health in real time. With a virtual pool of 3 million research participants, Evidation Health undertakes research for innovative biopharma and health care companies to transform how diseases are identified, treated, and monitored.

We're looking to fill multiple positions with outstanding applied scientists and engineers who want to use analytics and signal processing to understand and harness vast amounts of multi-variate time series data from connected wearables, sensors, and other mobile data in order to infer changes in health status and disease progression over time. The ideal candidates could have disciplinary training from several disciplines (machine learning, biostatistics, signal processing) and experience building models and applications from biomedical time series data.

We value problem-solving skills and an attitude towards learning: Our work lies at the intersection of many diverse fields including machine learning, signal processing, and epidemiology. We seek great communication and accountability, people who think people first.

If you thrive on autonomy and open-ended challenges, this is the perfect opportunity to take your career to the next level.

We have offices in San Francisco, San Mateo, and Santa Barbara, and are considering candidates for all three offices, as well as remote.

RESPONSIBILITIES
Analyze continuous signals from biomedical devices to extract features predictive of health outcomes
Understand impact of missing data and imputation techniques
Communicate with a team of data scientists drawing from a very diverse set of expertise
Build re-usable tools and models to predict health-related variables from time-series continuously collected from connected devices and apps
Work with a team of data scientists with very diverse backgrounds and expertise to define tasks and performance metrics
QUALIFICATIONS


Minimum Qualifications:
PhD in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline, OR
Masters in biomedical engineering, electrical engineering, data science, computer science, biostatistics, or related discipline with 2+ years of industry experience
Experience in health data science or related fields (academics OK)
Proficiency in Python, Matlab, or R
High level of motivation and willingness to learn new tools and ideas. Health Data Science is a nascent field where methods and concepts are quickly evolving
Preferred Qualifications:
Strong foundation on software engineering best practices
Experience working with biomedical time-series data
Experience with extracting features from wearable sensors
Knowledge of deep learning frameworks: Keras and TensorFlow
Understanding of statistics: significance tests, source of biases, mixed effect models, experiment design
BENEFITS
Health, dental, and vision benefits for you and competitive coverage for your family
Relocation support
Equity
Flexible work hours
Open vacation policy - take time when you need it
Support for remote work when needed
Relaxed work environment
Your choice of computing equipment and gear
Lots of opportunities for growth
Opportunity to work on fascinating challenges that improve people's lives
EVIDATION HEALTH VALUES DIVERSITY AND IS COMMITTED TO EQUAL OPPORTUNITY FOR ALL PERSONS WITHOUT REGARD TO RACE, COLOR, CREED, RELIGION, MARITAL STATUS, AGE, NATIONAL ORIGIN OR ANCESTRY, POLITICAL ACTIVITY OR AFFILIATION, PHYSICAL OR MENTAL DISABILITY, MEDICAL CONDITION INCLUDING GENETIC CHARACTERISTICS, MARITAL STATUS, SEXUAL ORIENTATION, GENDER IDENTITY, SEX OR GENDER.",4.1,"Evidation
4.1","Santa Barbara, CA",-1,-1,-1,-1,-1,Internet,-1,-1
Data Scientist,$108K-$140K (Est. de Glassdoor),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","New York, NY",-1,-1,-1,-1,-1,Aseguradoras,-1,-1
